State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
QLD,PHN301,Brisbane North,2014-15,1 year,"12,044","11,153",891,503,454,49,,,,,
QLD,PHN305,Western Queensland,2016-17,2 years,"1,097","1,017",80,339,306,33,,,,,
QLD,PHN302,Brisbane South,2012-13,5 years,"14,938","13,587","1,351",466,421,45,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,2 years,"9,701","8,892",809,725,656,69,,,,,
QLD,PHN304,Darling Downs and West Moreton,2013-14,2 years,"7,829","7,315",514,657,595,62,,,,,
QLD,PHN303,Gold Coast,2016-17,2 years,"7,304","6,662",642,192,174,18,,,,,
QLD,PHN304,Darling Downs and West Moreton,2012-13,2 years,"7,920","7,357",563,641,581,60,,,,,
QLD,PHN305,Western Queensland,2013-14,5 years,"1,198","1,132",66,356,324,32,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,5 years,"10,697","9,710",987,624,568,56,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,1 year,"9,567","8,895",672,836,762,74,,,,,
QLD,PHN303,Gold Coast,2015-16,1 year,"7,124","6,620",504,185,169,16,,,,,
QLD,PHN302,Brisbane South,2012-13,2 years,"14,916","13,737","1,179",515,471,44,,,,,
QLD,PHN307,Northern Queensland,2016-17,1 year,"9,348","8,836",512,"1,980","1,812",168,,,,,
QLD,PHN301,Brisbane North,2012-13,5 years,"12,305","11,317",988,355,326,29,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,2 years,"9,847","9,113",734,745,685,60,,,,,
QLD,PHN302,Brisbane South,2014-15,5 years,"15,449","14,206","1,243",472,434,38,,,,,
QLD,PHN305,Western Queensland,2016-17,1 year,"1,031",991,40,312,287,25,,,,,
QLD,PHN304,Darling Downs and West Moreton,2015-16,5 years,"8,296","7,795",501,667,615,52,,,,,
QLD,PHN301,Brisbane North,2012-13,2 years,"11,760","10,935",825,378,349,29,,,,,
QLD,PHN302,Brisbane South,2016-17,1 year,"15,052","14,179",873,663,613,50,,,,,
QLD,PHN305,Western Queensland,2012-13,2 years,"1,213","1,150",63,419,388,31,,,,,
QLD,PHN302,Brisbane South,2013-14,5 years,"15,167","13,981","1,186",517,479,38,,,,,
QLD,PHN304,Darling Downs and West Moreton,2013-14,5 years,"8,302","7,739",563,659,611,48,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,5 years,"10,820","9,907",913,661,613,48,,,,,
QLD,PHN303,Gold Coast,2016-17,1 year,"7,139","6,647",492,198,184,14,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,5 years,"10,430","9,552",878,750,697,53,,,,,
QLD,PHN304,Darling Downs and West Moreton,2016-17,1 year,"7,831","7,419",412,798,742,56,,,,,
QLD,PHN302,Brisbane South,2013-14,2 years,"14,917","13,877","1,040",545,507,38,,,,,
QLD,PHN301,Brisbane North,2015-16,5 years,"12,418","11,541",877,436,406,30,,,,,
QLD,PHN304,Darling Downs and West Moreton,2012-13,5 years,"8,115","7,544",571,613,571,42,,,,,
